Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
Lenovo;ThinkPad X1;Ultrabook;14.0;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.14kg;2450.0
Asus;ROG GL553VE-FY022;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050 Ti;No OS;2.5kg;1169.0
Acer;Extensa EX2540;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.4kg;450.0
Lenovo;IdeaPad 100S-14IBR;Notebook;14.0;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics;Windows 10;1.43kg;274.0
Acer;Swift 3;Ultrabook;14.0;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel Graphics 620;Windows 10;1.8kg;919.0
Razer;Blade Pro;Gaming;14.0;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD;Nvidia GeForce GTX 1060;Windows 10;1.95kg;2599.0
Toshiba;Portege Z30-C-16J;Notebook;13.3;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1213.0
Lenovo;Thinkpad X270;Ultrabook;12.5;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1584.0
Asus;ROG G701VI;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;32GB;512GB SSD;Nvidia GeForce GTX 1080;Windows 10;3.8kg;2799.0
Acer;A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Linux;2.4kg;709.0
Dell;XPS 13;Ultrabook;13.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.2kg;1449.9
MSI;GL62M 7REX;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.2kg;1191.8
HP;250 G6;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;1.86kg;364.9
Toshiba;Tecra A50-D-11M;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.0kg;1064.0
Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;919.0
Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.2kg;1135.0
Lenovo;IdeaPad Y700-15ISK;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960;Windows 10;3.31kg;1196.0
Dell;Alienware 17;Gaming;17.3;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;32GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;3147.37
Dell;Latitude E7470;Notebook;14.0;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.56kg;1229.0
Lenovo;Ideapad 320-15IAP;Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;500GB HDD;Intel HD Graphics 500;Windows 10;2.2kg;419.0
Lenovo;IdeaPad 320-15ISK;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.2kg;535.0
HP;15-ay047nv (i3-6006U/6GB/1TB/Radeon;Notebook;15.6;1920x1080;Intel Core i3 6006U 2GHz;6GB;1TB HDD;AMD Radeon R5 M430;Windows 10;2.04kg;539.0
MSI;GP72VR Leopard;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7kg;1486.77
Toshiba;Satellite Pro;Notebook;15.6;1366x768;Intel Core i3 6100U 2.1GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;2.1kg;498.0
Dell;Latitude 3580;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.06kg;955.0
HP;15-bs012nv (i7-7500U/8GB/1TB/Radeon;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon 530;Windows 10;2.1kg;745.0
Toshiba;Tecra Z50-D-10E;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.0kg;1258.0
Acer;Aspire 3;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Linux;2.1kg;412.0
Microsoft;Surface Laptop;Ultrabook;13.5;Touchscreen 2256x1504;Intel Core i7 7600U 2.8GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;Windows 10 S;1.252kg;1867.85
Lenovo;V310-15ISK (i5-7200U/8GB/1TB;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon R5 M430;Windows 10;1.90kg;817.95
Lenovo;Yoga 720-13IKB;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.3kg;1034.0
Lenovo;IdeaPad 320-15AST;Notebook;15.6;1366x768;AMD E-Series E2-9000 2.2GHz;4GB;128GB SSD;AMD Radeon R2 Graphics;Windows 10;2.2kg;349.0
HP;Pavilion X360;2 in 1 Convertible;14.0;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Nvidia GeForce 940MX;Windows 10;1.63kg;699.0
MSI;GP62 7RDX;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.4kg;1294.0
Asus;Zenbook 3;Ultrabook;14.0;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;1135.0
HP;Chromebook X360;2 in 1 Convertible;11.6;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;8GB;64GB Flash Storage;Intel HD Graphics 500;Chrome OS;1.4kg;495.0
LG;Gram 15Z975;Ultrabook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.09kg;2299.0
Acer;Aspire VX5-591G;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;16GB;256GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1299.0
MSI;GV62M 7RD;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;997.9
Asus;L502NA-GO052T (N3350/4GB/128GB/W10);Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;128GB SSD;Intel HD Graphics 500;Windows 10;1.86kg;419.0
Dell;Alienware 15;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.21kg;2051.0
HP;17-bs000nv I3;Notebook;17.3;IPS Panel Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 520;Windows 10;2.5kg;699.0
Lenovo;Yoga 730;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.19kg;1499.0
Dell;Alienware 15;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7820HK 2.9GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.49kg;2813.75
HP;250 G6;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;AMD Radeon 520;Windows 10;1.86kg;612.61
Dell;Inspiron 3567;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon R5 M430;Windows 10;2.2kg;545.67
HP;17-Y002nv (A10-9600P/6GB/2TB/Radeon;Notebook;17.3;IPS Panel Full HD 1920x1080;AMD A10-Series 9600P 2.4GHz;6GB;2TB HDD;AMD Radeon R7 M440;Windows 10;2.65kg;569.0
Lenovo;V110-15ISK (3855U/4GB/500GB/W10);Notebook;15.6;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4GB;500GB HDD;Intel HD Graphics 510;Windows 10;2.1kg;318.0
Acer;Chromebook 14;Notebook;14.0;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics 510;Chrome OS;1.45kg;375.0
Lenovo;IdeaPad 520s-14IKB;Notebook;14.0;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;699.0
HP;ZBook 17;Workstation;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;500GB HDD;Nvidia Quadro M1200;Windows 10;3.14kg;1907.99
Lenovo;ThinkPad X1;2 in 1 Convertible;14.0;Touchscreen 2560x1440;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.42kg;2590.0
Toshiba;Satellite Pro;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.5kg;973.0
Acer;TravelMate B117-M;Netbook;11.6;1366x768;Intel Celeron Dual Core N3050 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics;Windows 10;1.4kg;269.0
Lenovo;Yoga 910-13IKB;2 in 1 Convertible;14.0;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.38kg;1749.0
Asus;Chromebook Flip;2 in 1 Convertible;12.5;Full HD / Touchscreen 1920x1080;Intel Core M M3-6Y30 0.9GHz;4GB;64GB Flash Storage;Intel HD Graphics 515;Chrome OS;1.2kg;669.0
Toshiba;Portege Z30T-C-133;Ultrabook;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.36kg;1877.0
HP;15-bs011nv (i7-7500U/4GB/500GB/Radeon;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;4GB;500GB HDD;AMD Radeon 530;Windows 10;2.1kg;689.0
Dell;Inspiron 5577;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.56kg;819.0
Lenovo;IdeaPad 320-15AST;Notebook;15.6;Full HD 1920x1080;AMD A9-Series 9420 2.9GHz;4GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;399.0
Lenovo;IdeaPad 320-15ABR;Notebook;15.6;1366x768;AMD A12-Series 9720P 3.6GHz;8GB;1TB HDD;AMD Radeon R7;Windows 10;2.2kg;429.0
Lenovo;V310-15IKB (i5-7200U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD +  1TB HDD;Intel HD Graphics 620;Windows 10;2.1kg;621.45
Lenovo;V310-15ISK (i3-6006U/4GB/500GB/No;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;1.90kg;450.0
Dell;Vostro 5568;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.18kg;795.0
Acer;Spin 5;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6kg;999.0
Lenovo;ThinkPad P51s;Workstation;15.6;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Nvidia Quadro M520M;Windows 7;2.18kg;1855.0
Lenovo;Thinkpad T460p;Notebook;14.0;Full HD 1920x1080;Intel Core i5 6300HQ 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.8kg;1191.0
HP;17-ak002nv (A10-9620P/6GB/2TB/Radeon;Notebook;17.3;IPS Panel Full HD 1920x1080;AMD A10-Series 9620P 2.5GHz;6GB;2TB HDD;AMD Radeon 530;Windows 10;2.71kg;655.01
Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1249.0
Dell;Latitude 5480;Notebook;14.0;Full HD 1920x1080;Intel Core i5 7440HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Linux;1.64kg;1089.0
Dell;Vostro 5568;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Linux;1.98kg;726.0
Asus;VivoBook E403NA;Notebook;14.0;Full HD 1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5kg;298.0
Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.93kg;1426.66
Lenovo;Thinkpad E470;Notebook;14.0;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 920MX;Windows 10;1.87kg;857.07
Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.9kg;1179.0
Lenovo;110-15ACL (A6-7310/4GB/500GB/W10);Notebook;15.6;1366x768;AMD A6-Series 7310 2GHz;4GB;500GB HDD;AMD Radeon R4;Windows 10;2.19kg;298.0
Mediacom;Smartbook 142;Notebook;14.0;IPS Panel Full HD 1920x1200;Intel Atom Z8350 1.92GHz;4GB;32GB HDD;Intel HD Graphics 400;Windows 10;1.4kg;265.0
HP;ProBook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;2.63kg;1200.0
Lenovo;ThinkPad X1;Ultrabook;14.0;IPS Panel Quad HD+ 2560x1440;Intel Core i7 6500U 2.5GHz;8GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.17kg;1686.64
HP;Pavilion X360;2 in 1 Convertible;13.3;IPS Panel Touchscreen 1366x768;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.58kg;836.6
Lenovo;ThinkPad T470s;Ultrabook;14.0;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.32kg;1499.0
Dell;Alienware 17;Gaming;17.3;4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;32GB;1TB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.36kg;3659.4
MSI;GL72M 7REX;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7kg;1348.48
Lenovo;V310-15IKB (i5-7200U/4GB/1TB/No;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;No OS;1.9kg;489.9
Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.2kg;719.0
Dell;Inspiron 5378;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.71kg;649.0
Dell;Inspiron 5567;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R7 M445;Linux;2.32kg;589.52
HP;15-BW037na (A9-9420/4GB/1TB/Radeon;Notebook;15.6;Full HD 1920x1080;AMD A9-Series 9420 3GHz;4GB;1TB HDD;AMD Radeon 520;Windows 10;2.1kg;489.0
Acer;Predator 17;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.2kg;1935.0
Dell;Inspiron 3567;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;12GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.25kg;649.0
HP;15-BW091ND (A9-9420/6GB/1TB;Notebook;15.6;Full HD 1920x1080;AMD A9-Series A9-9420 3GHz;6GB;128GB SSD +  1TB HDD;AMD Radeon 520;Windows 10;2.1kg;650.0
Acer;Extensa EX2540-58KR;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.4kg;559.0
Lenovo;ThinkPad 13;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.44kg;960.0
Lenovo;V310-15IKB (i7-7500U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.85kg;779.0
HP;ZBook 15;Workstation;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD;Nvidia Quadro M2200;Windows 10;2.6kg;2419.0
Dell;Inspiron 5379;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;1.55kg;659.0
MSI;GS63VR 7RF;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.8kg;2094.48
Acer;Aspire ES1-572;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.4kg;410.8
Dell;Inspiron 7560;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.0kg;1207.0
Dell;Vostro 3568;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2kg;665.0
Toshiba;Tecra X40-D-10G;Notebook;14.0;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.25kg;1535.0
Lenovo;Flex 5;2 in 1 Convertible;14.0;Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;999.0
Lenovo;Thinkpad P51s;Workstation;15.6;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7600U 2.8GHz;16GB;1TB SSD;Nvidia Quadro M520M;Windows 10;2.5kg;3299.0
Acer;Chromebook 14;Notebook;14.0;1366x768;Intel Celeron Dual Core N3060 1.6GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.68kg;330.0
Samsung;Notebook 9;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;Intel HD Graphics 620;Windows 10;0.81kg;1649.0
HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.86kg;539.0
Dell;Latitude 5480;Notebook;14.0;1366x768;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.6kg;1126.71
HP;Zbook 17;Workstation;17.3;IPS Panel Full HD 1920x1080;Intel Xeon E3-1535M v5 2.9GHz;16GB;256GB SSD;Nvidia Quadro M2000M;Windows 7;3kg;4389.0
Lenovo;N23 (N3060/4GB/128GB/W10);Netbook;11.6;Touchscreen 1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;128GB SSD;Intel HD Graphics 400;Windows 10;1.4kg;475.0
HP;EliteBook 850;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.84kg;1900.0
Asus;X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce;Notebook;15.6;1366x768;Intel Core i5 6300HQ 2.3GHz;4GB;1TB HDD;Nvidia GeForce GTX 950M;No OS;2.45kg;579.0
Lenovo;Thinkpad T460;Ultrabook;14.0;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;180GB SSD;Intel HD Graphics 520;Windows 10;1.7kg;1096.0
Asus;Pro P2540UA-XO0192R;Notebook;15.6;1366x768;Intel Core i7 7500U 2.7GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.37kg;849.9
Lenovo;Yoga 900-13ISK;2 in 1 Convertible;13.3;IPS Panel Quad HD+ / Touchscreen 3200x1800;Intel Core i5 6260U 1.8GHz;8GB;256GB SSD;Intel HD Graphics 540;Windows 10;1.3kg;1199.0
HP;15-cb003na (i5-7300HQ/8GB/1TB;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;1099.0
HP;ZBook 15;Workstation;15.6;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8GB;256GB SSD;Nvidia Quadro M1000M;Windows 7;2.59kg;1561.0
Dell;Alienware 17;Gaming;15.6;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;2868.99
Acer;Aspire 3;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.1kg;599.0
Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;1048.0
Dell;Latitude 7280;Ultrabook;12.5;Full HD 1920x1080;Intel Core i7 7600U 2.8GHz;16GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.18kg;1859.0
Google;Pixelbook (Core;Ultrabook;12.3;Touchscreen 2400x1600;Intel Core i5 7Y57 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;Chrome OS;1.1kg;1559.0
Asus;Zenbook UX330UA-AH5Q;Ultrabook;13.3;IPS Panel Quad HD+ 3200x1800;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.2kg;1129.0
Dell;Latitude 3380;Notebook;13.3;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.65kg;849.0
Acer;TravelMate P238-M;Notebook;13.3;1366x768;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.6kg;655.0
Asus;X751NV-TY001 (N4200/4GB/1TB/GeForce;Notebook;17.3;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.8kg;470.34
Dell;Inspiron 7559;Gaming;15.6;IPS Panel Touchscreen / 4K Ultra HD 3840x2160;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2.72kg;1099.0
Samsung;Notebook 9;Ultrabook;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.31kg;1599.0
Acer;Aspire A315-31;Notebook;15.6;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;Linux;2.1kg;298.0
Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;AMD Radeon R7 M445;Windows 10;2.3kg;1181.27
Samsung;Notebook 9;2 in 1 Convertible;15.0;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;AMD Radeon 540;Windows 10;1.71kg;1799.0
Toshiba;Tecra A40-C-1E5;Notebook;14.0;IPS Panel 1366x768;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.75kg;1020.0
Dell;Inspiron 7567;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.62kg;1099.0
HP;EliteBook 820;Ultrabook;12.5;1366x768;Intel Core i5 6200U 2.3GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.26kg;1244.0
Asus;Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce;2 in 1 Convertible;15.6;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12GB;2TB HDD;Nvidia GeForce 940MX;Windows 10;2.3kg;839.0
Lenovo;Thinkpad P50;Notebook;15.6;4K Ultra HD 3840x2160;Intel Core i7 6820HQ 2.7GHz;16GB;512GB SSD;Nvidia Quadro M2000M;Windows 7;2.5kg;2370.0
Acer;Swift 3;Notebook;14.0;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.8kg;636.0
Razer;Blade Pro;Gaming;14.0;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1060;Windows 10;1.95kg;2899.0
Asus;Vivobook Max;Notebook;15.6;1920x1080;Intel Pentium Dual Core N4200 1.1GHz;8GB;128GB SSD;Intel HD Graphics 505;Windows 10;2kg;581.9
Dell;Alienware 17;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;32GB;1TB SSD +  1TB HDD;Nvidia GeForce GTX 1070M;Windows 10;4.42kg;3588.8
